"Local"; "População no último censo"
"Macuco"; 5269
"São José de Ubá"; 7003
"Laje do Muriaé"; 7487
"Comendador Levy Gasparian"; 8180
"Rio das Flores"; 8561
"São Sebastião do Alto"; 8895
"Varre-Sai"; 9475
"Aperibé"; 10213
"Trajano de Moraes"; 10289
"Santa Maria Madalena"; 10321
"Duas Barras"; 10930
"Areal"; 11423
"Cardoso Moreira"; 12600
"Quatis"; 12793
"Engenheiro Paulo de Frontin"; 13237
"Carapebus"; 13359
"Italva"; 14063
"Cambuci"; 14827
"Sumidouro"; 14900
"Natividade"; 15082
"Porto Real"; 16592
"Rio Claro"; 17425
"Carmo"; 17434
"Sapucaia"; 17525
"Porciúncula"; 17760
"Mendes"; 17935
"Cantagalo"; 19830
"Quissamã"; 20242
"São José do Vale do Rio Preto"; 20251
"Cordeiro"; 20430
"Conceição de Macabu"; 21211
"Silva Jardim"; 21349
"Pinheiral"; 22719
"Iguaba Grande"; 22851
"Itaocara"; 22899
"Miguel Pereira"; 24642
"Bom Jardim"; 25333
"Piraí"; 26314
"Paty do Alferes"; 26359
"Miracema"; 26843
"Armação dos Búzios"; 27560
"Arraial do Cabo"; 27715
"Itatiaia"; 28783
"Tanguá"; 30732
"São João da Barra"; 32747
"Vassouras"; 34410
"Casimiro de Abreu"; 35347
"Bom Jesus do Itabapoana"; 35411
"Mangaratiba"; 36456
"Paraty"; 37533
"São Fidélis"; 37543
"Santo Antônio de Pádua"; 40589
"Paraíba do Sul"; 41084
"São Francisco de Itabapoana"; 41354
"Paracambi"; 47124
"Guapimirim"; 51483
"Cachoeiras de Macacu"; 54273
"Rio Bonito"; 55551
"Valença"; 71843
"Saquarema"; 74234
"Três Rios"; 77432
"Seropédica"; 78186
"São Pedro da Aldeia"; 87875
"Barra do Piraí"; 94778
"Japeri"; 95492
"Itaperuna"; 95841
"Rio das Ostras"; 105676
"Itaguaí"; 109091
"Araruama"; 112008
"Resende"; 119769
"Maricá"; 127461
"Queimados"; 137962
"Nilópolis"; 157425
"Teresópolis"; 163746
"Mesquita"; 168376
"Angra dos Reis"; 169511
"Barra Mansa"; 177813
"Nova Friburgo"; 182082
"Cabo Frio"; 186227
"Macaé"; 206728
"Itaboraí"; 218008
"Magé"; 227322
"Volta Redonda"; 257803
"Petrópolis"; 295917
"São João de Meriti"; 458673
"Campos dos Goytacazes"; 463731
"Belford Roxo"; 469332
"Niterói"; 487562
"Nova Iguaçu"; 796257
"Duque de Caxias"; 855048
"São Gonçalo"; 999728
"Rio de Janeiro"; 6320446
